T TP FP FN TN TPR FPR 
0 151 1111 0 0 1.000000 1.000000
1 151 1111 0 0 1.000000 1.000000
2 151 1111 0 0 1.000000 1.000000
3 151 1111 0 0 1.000000 1.000000
4 151 1111 0 0 1.000000 1.000000
5 151 1111 0 0 1.000000 1.000000
6 151 1111 0 0 1.000000 1.000000
7 151 1111 0 0 1.000000 1.000000
8 151 1111 0 0 1.000000 1.000000
9 151 1111 0 0 1.000000 1.000000
10 151 1111 0 0 1.000000 1.000000
11 151 1111 0 0 1.000000 1.000000
12 151 1111 0 0 1.000000 1.000000
13 151 1111 0 0 1.000000 1.000000
14 151 1111 0 0 1.000000 1.000000
15 151 1111 0 0 1.000000 1.000000
16 151 1111 0 0 1.000000 1.000000
17 151 1111 0 0 1.000000 1.000000
18 151 1111 0 0 1.000000 1.000000
19 151 1111 0 0 1.000000 1.000000
20 151 1111 0 0 1.000000 1.000000
21 151 1111 0 0 1.000000 1.000000
22 151 1111 0 0 1.000000 1.000000
23 151 1111 0 0 1.000000 1.000000
24 151 1111 0 0 1.000000 1.000000
25 151 1111 0 0 1.000000 1.000000
26 151 1111 0 0 1.000000 1.000000
27 151 1111 0 0 1.000000 1.000000
28 151 1111 0 0 1.000000 1.000000
29 151 1111 0 0 1.000000 1.000000
30 151 1111 0 0 1.000000 1.000000
31 151 1111 0 0 1.000000 1.000000
32 151 1111 0 0 1.000000 1.000000
33 151 1111 0 0 1.000000 1.000000
34 151 1111 0 0 1.000000 1.000000
35 151 1111 0 0 1.000000 1.000000
36 151 1111 0 0 1.000000 1.000000
37 151 1111 0 0 1.000000 1.000000
38 151 1111 0 0 1.000000 1.000000
39 151 1111 0 0 1.000000 1.000000
40 151 1111 0 0 1.000000 1.000000
41 151 1111 0 0 1.000000 1.000000
42 151 1111 0 0 1.000000 1.000000
43 151 1111 0 0 1.000000 1.000000
44 151 1111 0 0 1.000000 1.000000
45 151 1111 0 0 1.000000 1.000000
46 151 1111 0 0 1.000000 1.000000
47 151 1111 0 0 1.000000 1.000000
48 151 1111 0 0 1.000000 1.000000
49 151 1111 0 0 1.000000 1.000000
50 151 1111 0 0 1.000000 1.000000
51 151 1111 0 0 1.000000 1.000000
52 151 1111 0 0 1.000000 1.000000
53 151 1111 0 0 1.000000 1.000000
54 151 1111 0 0 1.000000 1.000000
55 151 1111 0 0 1.000000 1.000000
56 151 1111 0 0 1.000000 1.000000
57 151 1111 0 0 1.000000 1.000000
58 151 1111 0 0 1.000000 1.000000
59 151 1111 0 0 1.000000 1.000000
60 151 1111 0 0 1.000000 1.000000
61 151 1111 0 0 1.000000 1.000000
62 151 1111 0 0 1.000000 1.000000
63 151 1111 0 0 1.000000 1.000000
64 151 1111 0 0 1.000000 1.000000
65 151 1111 0 0 1.000000 1.000000
66 151 1111 0 0 1.000000 1.000000
67 151 1111 0 0 1.000000 1.000000
68 151 1111 0 0 1.000000 1.000000
69 151 1111 0 0 1.000000 1.000000
70 151 1111 0 0 1.000000 1.000000
71 151 1111 0 0 1.000000 1.000000
72 151 1111 0 0 1.000000 1.000000
73 151 1111 0 0 1.000000 1.000000
74 151 1111 0 0 1.000000 1.000000
75 151 1111 0 0 1.000000 1.000000
76 151 1111 0 0 1.000000 1.000000
77 151 1111 0 0 1.000000 1.000000
78 151 1111 0 0 1.000000 1.000000
79 151 1111 0 0 1.000000 1.000000
80 151 1111 0 0 1.000000 1.000000
81 151 1111 0 0 1.000000 1.000000
82 151 1111 0 0 1.000000 1.000000
83 151 1111 0 0 1.000000 1.000000
84 151 1111 0 0 1.000000 1.000000
85 151 1111 0 0 1.000000 1.000000
86 151 1111 0 0 1.000000 1.000000
87 151 1111 0 0 1.000000 1.000000
88 151 1111 0 0 1.000000 1.000000
89 151 1111 0 0 1.000000 1.000000
90 151 1111 0 0 1.000000 1.000000
91 151 1111 0 0 1.000000 1.000000
92 151 1111 0 0 1.000000 1.000000
93 151 1111 0 0 1.000000 1.000000
94 151 1111 0 0 1.000000 1.000000
95 151 1111 0 0 1.000000 1.000000
96 151 1111 0 0 1.000000 1.000000
97 151 1111 0 0 1.000000 1.000000
98 151 1111 0 0 1.000000 1.000000
99 151 1111 0 0 1.000000 1.000000
100 151 1111 0 0 1.000000 1.000000
101 151 1111 0 0 1.000000 1.000000
102 151 1111 0 0 1.000000 1.000000
103 151 1111 0 0 1.000000 1.000000
104 151 1111 0 0 1.000000 1.000000
105 151 1111 0 0 1.000000 1.000000
106 151 1111 0 0 1.000000 1.000000
107 151 1111 0 0 1.000000 1.000000
108 151 1110 0 1 1.000000 0.999100
109 151 1110 0 1 1.000000 0.999100
110 151 1109 0 2 1.000000 0.998200
111 151 1109 0 2 1.000000 0.998200
112 151 1107 0 4 1.000000 0.996400
113 151 1106 0 5 1.000000 0.995500
114 151 1106 0 5 1.000000 0.995500
115 151 1103 0 8 1.000000 0.992799
116 151 1101 0 10 1.000000 0.990999
117 151 1099 0 12 1.000000 0.989199
118 151 1099 0 12 1.000000 0.989199
119 151 1097 0 14 1.000000 0.987399
120 151 1096 0 15 1.000000 0.986499
121 151 1095 0 16 1.000000 0.985599
122 151 1095 0 16 1.000000 0.985599
123 151 1095 0 16 1.000000 0.985599
124 151 1093 0 18 1.000000 0.983798
125 151 1093 0 18 1.000000 0.983798
126 151 1092 0 19 1.000000 0.982898
127 151 1088 0 23 1.000000 0.979298
128 151 1086 0 25 1.000000 0.977498
129 151 1082 0 29 1.000000 0.973897
130 151 1075 0 36 1.000000 0.967597
131 151 1073 0 38 1.000000 0.965797
132 151 1071 0 40 1.000000 0.963996
133 151 1062 0 49 1.000000 0.955896
134 151 1059 0 52 1.000000 0.953195
135 151 1052 0 59 1.000000 0.946895
136 151 1046 0 65 1.000000 0.941494
137 151 1034 0 77 1.000000 0.930693
138 151 1023 0 88 1.000000 0.920792
139 151 1005 0 106 1.000000 0.904590
140 151 986 0 125 1.000000 0.887489
141 151 975 0 136 1.000000 0.877588
142 151 962 0 149 1.000000 0.865887
143 151 949 0 162 1.000000 0.854185
144 151 934 0 177 1.000000 0.840684
145 151 920 0 191 1.000000 0.828083
146 151 908 0 203 1.000000 0.817282
147 151 881 0 230 1.000000 0.792979
148 151 855 0 256 1.000000 0.769577
149 151 834 0 277 1.000000 0.750675
150 151 819 0 292 1.000000 0.737174
151 151 797 0 314 1.000000 0.717372
152 151 773 0 338 1.000000 0.695770
153 151 760 0 351 1.000000 0.684068
154 151 731 0 380 1.000000 0.657966
155 151 707 0 404 1.000000 0.636364
156 151 686 0 425 1.000000 0.617462
157 151 663 0 448 1.000000 0.596760
158 151 648 0 463 1.000000 0.583258
159 151 634 0 477 1.000000 0.570657
160 151 622 0 489 1.000000 0.559856
161 151 598 0 513 1.000000 0.538254
162 151 582 0 529 1.000000 0.523852
163 151 561 0 550 1.000000 0.504951
164 151 547 0 564 1.000000 0.492349
165 151 534 0 577 1.000000 0.480648
166 151 519 0 592 1.000000 0.467147
167 151 504 0 607 1.000000 0.453645
168 151 494 0 617 1.000000 0.444644
169 151 476 0 635 1.000000 0.428443
170 151 461 0 650 1.000000 0.414941
171 151 444 0 667 1.000000 0.399640
172 151 427 0 684 1.000000 0.384338
173 151 413 0 698 1.000000 0.371737
174 151 396 0 715 1.000000 0.356436
175 151 375 0 736 1.000000 0.337534
176 151 362 0 749 1.000000 0.325833
177 151 342 0 769 1.000000 0.307831
178 151 329 0 782 1.000000 0.296130
179 151 317 0 794 1.000000 0.285329
180 151 300 0 811 1.000000 0.270027
181 151 289 0 822 1.000000 0.260126
182 151 281 0 830 1.000000 0.252925
183 151 266 0 845 1.000000 0.239424
184 151 253 0 858 1.000000 0.227723
185 151 244 0 867 1.000000 0.219622
186 151 234 0 877 1.000000 0.210621
187 151 217 0 894 1.000000 0.195320
188 151 206 0 905 1.000000 0.185419
189 151 195 0 916 1.000000 0.175518
190 151 183 0 928 1.000000 0.164716
191 151 166 0 945 1.000000 0.149415
192 151 163 0 948 1.000000 0.146715
193 151 154 0 957 1.000000 0.138614
194 151 146 0 965 1.000000 0.131413
195 150 136 1 975 0.993378 0.122412
196 149 128 2 983 0.986755 0.115212
197 149 119 2 992 0.986755 0.107111
198 149 113 2 998 0.986755 0.101710
199 147 104 4 1007 0.973510 0.093609
200 147 100 4 1011 0.973510 0.090009
201 147 91 4 1020 0.973510 0.081908
202 145 83 6 1028 0.960265 0.074707
203 145 79 6 1032 0.960265 0.071107
204 145 74 6 1037 0.960265 0.066607
205 145 70 6 1041 0.960265 0.063006
206 142 67 9 1044 0.940397 0.060306
207 141 62 10 1049 0.933775 0.055806
208 137 60 14 1051 0.907285 0.054005
209 134 57 17 1054 0.887417 0.051305
210 133 54 18 1057 0.880795 0.048605
211 130 51 21 1060 0.860927 0.045905
212 128 44 23 1067 0.847682 0.039604
