state   start_idx   stop_idx   start_time   stop_time   acc_x   acc_y   acc_z   pitch   roll   yaw  
move   1   4   0.001923   0.000931   -0.000190   -0.109497   0.000536   -0.000066   0.000139   -0.000052 
move   54   101   0.000931   0.992157   -0.021305   -19.727023   19.886435   -0.070368   0.001572   1.388410 
move   111   127   0.992966   0.997253   -0.011727   0.387880   -0.024795   0.002010   -0.003026   0.795392 
move   144   148   0.996170   0.996231   -0.000182   0.024634   -0.001358   0.000770   0.000027   0.199300 
move   149   201   0.993256   0.016937   -0.053418   -4.947092   -17.221433   0.045119   -0.038379   1.709761 
move   243   257   0.011917   12.900000   0.010837   -1.785151   -0.604239   0.000828   -0.000249   0.004188 
move   286   335   14.350000   16.800000   0.763667   -0.053560   -29.081781   -0.004254   0.001629   0.041848 
move   377   498   18.900000   24.950000   18.577558   -14.497411   -175.287625   -0.011974   -0.036922   -0.020487 
move   621   680   31.100000   34.050000   -0.322209   -0.173315   -42.232474   0.045546   0.005694   1.567627 
move   742   783   37.150000   39.200000   -0.142198   0.176683   -20.493620   -0.004103   -0.003566   -1.540908 
move   853   1001   42.700000   50.100000   -11.380061   -202.430169   -78.686839   0.002165   -0.026866   -0.021470 
move   1054   1101   52.750000   55.100000   9.746275   -0.021305   -19.727023   0.001572   1.672613   -0.070368 
move   1112   1127   55.650000   56.400000   2.742092   -0.009238   0.338924   -0.002780   -0.001376   0.001498 
move   1144   1148   57.250000   57.450000   0.195577   -0.000182   0.024634   0.000027   -0.002637   0.000770 
move   1149   1201   57.500000   60.100000   28.882653   -0.053418   -4.947092   -0.038379   -1.617972   0.045119 
