state  , start_idx  , stop_idx   ,start_time   ,stop_time   ,acc_x   ,acc_y   ,acc_z   ,pitch   ,roll   ,yaw  
move   ,16,59,0.85,3,0.406029,-0.236764,-22.408235,-0.015601,-0.002523,-0.025836
move   ,110,150,5.55,7.55,0.092237,0.624258,-19.39885,0.001236,-0.023356,0.0215
move   ,206,244,10.35,12.25,-0.201117,0.124855,-17.490764,-0.003269,-0.013998,-0.027016
move   ,286,335,14.35,16.8,0.763667,-0.05356,-29.081781,-0.004254,0.001629,0.041848
move   ,377,498,18.9,24.95,18.577558,-14.497411,-175.287625,-0.011974,-0.036922,-0.020487
move   ,621,680,31.1,34.05,-0.322209,-0.173315,-42.232474,0.045546,0.005694,1.567627
move   ,742,783,37.15,39.2,-0.142198,0.176683,-20.49362,-0.004103,-0.003566,-1.540908
move   ,853,1001,42.7,50.1,-11.380061,-202.430169,-78.686839,0.002165,-0.026866,-0.02147
move   ,1054,1101,52.75,55.1,9.746275,-0.021305,-19.727023,0.001572,1.672613,-0.070368
move   ,1112,1127,55.65,56.4,2.742092,-0.009238,0.338924,-0.00278,-0.001376,0.001498
move   ,1144,1148,57.25,57.45,0.195577,-0.000182,0.024634,0.000027,-0.002637,0.00077
move   ,1149,1201,57.5,60.1,28.882653,-0.053418,-4.947092,-0.038379,-1.617972,0.045119
