 time, var_acx, var_acy, var_acz, pitch, var_roll, vra_yaw 
 0.050000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
 0.150000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
 0.200000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
 0.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
 0.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
 0.350000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
 0.400000, 0.000003, 0.000006, 0.000004, 0.000037, 0.000056, 0.000023 
 0.450000, 0.000003, 0.000007, 0.000004, 0.000036, 0.000056, 0.000025 
 0.500000, 0.000003, 0.000006, 0.000004, 0.000126, 0.000213, 0.000025 
 0.550000, 0.000003, 0.000009, 0.000004, 0.000164, 0.000344, 0.000028 
 0.600000, 0.000004, 0.000012, 0.000005, 0.000147, 0.000491, 0.000027 
 0.650000, 0.000007, 0.000014, 0.000005, 0.000136, 0.000478, 0.000029 
 0.700000, 0.000012, 0.000014, 0.000005, 0.000138, 0.000456, 0.000044 
 0.750000, 0.000012, 0.000014, 0.000005, 0.000233, 0.000511, 0.000084 
 0.800000, 0.000034, 0.000061, 0.000005, 0.000234, 0.000532, 0.000113 
 0.850000, 0.000047, 0.000837, 0.000005, 0.000239, 0.000530, 0.000690 
 0.900000, 0.000048, 0.002282, 0.000005, 0.000258, 0.000524, 0.003470 
 0.950000, 0.000054, 0.003048, 0.000005, 0.000259, 0.000514, 0.004360 
 1.000000, 0.000218, 0.003569, 0.000006, 0.000274, 0.000526, 0.004736 
 1.050000, 0.000286, 0.003642, 0.000006, 0.000281, 0.000526, 0.006955 
 1.100000, 0.000319, 0.003556, 0.000006, 0.000282, 0.000639, 0.012077 
 1.150000, 0.000328, 0.003384, 0.000006, 0.000452, 0.000608, 0.013630 
 1.200000, 0.000359, 0.003350, 0.000006, 0.000963, 0.000638, 0.014164 
 1.250000, 0.000647, 0.003715, 0.000006, 0.000932, 0.000584, 0.015501 
 1.300000, 0.000728, 0.004427, 0.000006, 0.000982, 0.000554, 0.015786 
 1.350000, 0.001232, 0.004592, 0.000006, 0.001167, 0.000925, 0.015788 
 1.400000, 0.001243, 0.004538, 0.000006, 0.001375, 0.000977, 0.026134 
 1.450000, 0.002342, 0.004426, 0.000006, 0.001777, 0.001055, 0.028355 
 1.500000, 0.002476, 0.005444, 0.000006, 0.001764, 0.001006, 0.034180 
 1.550000, 0.002459, 0.005534, 0.000006, 0.001830, 0.001067, 0.034202 
 1.600000, 0.002885, 0.005222, 0.000006, 0.001911, 0.001065, 0.033933 
 1.650000, 0.003159, 0.004351, 0.000006, 0.001818, 0.001111, 0.030816 
 1.700000, 0.003522, 0.004075, 0.000006, 0.002337, 0.001126, 0.029277 
 1.750000, 0.003426, 0.004005, 0.000006, 0.002264, 0.001102, 0.032238 
 1.800000, 0.003379, 0.003481, 0.000007, 0.002313, 0.001108, 0.034694 
 1.850000, 0.003482, 0.004567, 0.000011, 0.002280, 0.000930, 0.038715 
 1.900000, 0.003462, 0.004400, 0.000011, 0.002315, 0.000948, 0.038393 
 1.950000, 0.003451, 0.004803, 0.000011, 0.001918, 0.000758, 0.039113 
 2.000000, 0.003231, 0.005500, 0.000011, 0.001933, 0.000659, 0.038459 
 2.050000, 0.003148, 0.005726, 0.000010, 0.001810, 0.000657, 0.037738 
 2.100000, 0.002614, 0.003678, 0.000009, 0.001640, 0.000363, 0.038921 
 2.150000, 0.002614, 0.003318, 0.000010, 0.001419, 0.000342, 0.026385 
 2.200000, 0.001490, 0.003238, 0.000010, 0.001006, 0.000206, 0.021572 
 2.250000, 0.001397, 0.003234, 0.000010, 0.001755, 0.000471, 0.025116 
 2.300000, 0.001394, 0.003101, 0.000009, 0.001725, 0.000477, 0.024860 
 2.350000, 0.000944, 0.002830, 0.000011, 0.001554, 0.000483, 0.024060 
 2.400000, 0.000690, 0.002995, 0.000011, 0.001550, 0.000354, 0.024130 
 2.450000, 0.000249, 0.003252, 0.000012, 0.001194, 0.000362, 0.024284 
 2.500000, 0.000230, 0.003257, 0.000012, 0.001194, 0.000385, 0.020216 
 2.550000, 0.000182, 0.003429, 0.000010, 0.001180, 0.000403, 0.016285 
 2.600000, 0.000079, 0.002799, 0.000005, 0.001153, 0.000403, 0.006972 
 2.650000, 0.000080, 0.002668, 0.000007, 0.001100, 0.000375, 0.006984 
 2.700000, 0.000076, 0.002102, 0.000013, 0.001065, 0.000374, 0.004823 
 2.750000, 0.000019, 0.001028, 0.000013, 0.000921, 0.000368, 0.004618 
 2.800000, 0.000020, 0.000387, 0.000013, 0.000831, 0.000368, 0.004205 
 2.850000, 0.000018, 0.000273, 0.000013, 0.000831, 0.000363, 0.004036 
 2.900000, 0.000016, 0.000254, 0.000013, 0.000729, 0.000361, 0.003859 
 2.950000, 0.000013, 0.000218, 0.000014, 0.000687, 0.000361, 0.003862 
 3.000000, 0.000012, 0.000003, 0.000014, 0.000030, 0.000026, 0.000019 
 3.050000, 0.000005, 0.000002, 0.000014, 0.000029, 0.000028, 0.000024 
 3.100000, 0.000004, 0.000002, 0.000012, 0.000027, 0.000029, 0.000024 
 3.150000, 0.000004, 0.000001, 0.000012, 0.000025, 0.000034, 0.000024 
 3.200000, 0.000003, 0.000002, 0.000013, 0.000025, 0.000053, 0.000026 
 3.250000, 0.000003, 0.000003, 0.000012, 0.000030, 0.000048, 0.000028 
 3.300000, 0.000004, 0.000003, 0.000013, 0.000033, 0.000045, 0.000027 
 3.350000, 0.000004, 0.000003, 0.000013, 0.000033, 0.000049, 0.000027 
 3.400000, 0.000005, 0.000003, 0.000010, 0.000036, 0.000050, 0.000027 
 3.450000, 0.000005, 0.000004, 0.000006, 0.000031, 0.000054, 0.000027 
 3.500000, 0.000004, 0.000004, 0.000005, 0.000031, 0.000051, 0.000027 
 3.550000, 0.000003, 0.000005, 0.000005, 0.000045, 0.000079, 0.000031 
 3.600000, 0.000003, 0.000005, 0.000006, 0.000051, 0.000078, 0.000028 
 3.650000, 0.000004, 0.000005, 0.000007, 0.000050, 0.000079, 0.000027 
 3.700000, 0.000003, 0.000005, 0.000011, 0.000046, 0.000079, 0.000022 
 3.750000, 0.000002, 0.000005, 0.000011, 0.000043, 0.000073, 0.000022 
 3.800000, 0.000003, 0.000005, 0.000011, 0.000042, 0.000067, 0.000018 
 3.850000, 0.000004, 0.000005, 0.000012, 0.000039, 0.000067, 0.000017 
 3.900000, 0.000004, 0.000005, 0.000011, 0.000043, 0.000064, 0.000020 
 3.950000, 0.000004, 0.000004, 0.000010, 0.000045, 0.000045, 0.000019 
 4.000000, 0.000004, 0.000003, 0.000010, 0.000036, 0.000047, 0.000017 
 4.050000, 0.000004, 0.000003, 0.000010, 0.000037, 0.000050, 0.000017 
 4.100000, 0.000004, 0.000004, 0.000010, 0.000029, 0.000054, 0.000016 
 4.150000, 0.000005, 0.000004, 0.000010, 0.000028, 0.000053, 0.000018 
 4.200000, 0.000004, 0.000002, 0.000010, 0.000029, 0.000044, 0.000016 
 4.250000, 0.000005, 0.000003, 0.000009, 0.000029, 0.000046, 0.000017 
 4.300000, 0.000004, 0.000002, 0.000009, 0.000018, 0.000028, 0.000012 
 4.350000, 0.000006, 0.000003, 0.000009, 0.000019, 0.000033, 0.000012 
 4.400000, 0.000006, 0.000004, 0.000008, 0.000019, 0.000038, 0.000012 
 4.450000, 0.000006, 0.000004, 0.000004, 0.000021, 0.000039, 0.000012 
 4.500000, 0.000006, 0.000004, 0.000005, 0.000023, 0.000040, 0.000023 
 4.550000, 0.000006, 0.000004, 0.000005, 0.000023, 0.000039, 0.000023 
 4.600000, 0.000005, 0.000004, 0.000004, 0.000023, 0.000038, 0.000029 
 4.650000, 0.000005, 0.000004, 0.000004, 0.000018, 0.000039, 0.000028 
 4.700000, 0.000005, 0.000005, 0.000005, 0.000014, 0.000039, 0.000028 
 4.750000, 0.000005, 0.000005, 0.000006, 0.000014, 0.000037, 0.000029 
 4.800000, 0.000005, 0.000005, 0.000006, 0.000014, 0.000035, 0.000028 
 4.850000, 0.000005, 0.000005, 0.000006, 0.000016, 0.000041, 0.000027 
 4.900000, 0.000003, 0.000005, 0.000006, 0.000016, 0.000039, 0.000027 
 4.950000, 0.000004, 0.000005, 0.000006, 0.000016, 0.000053, 0.000027 
 5.000000, 0.000004, 0.000005, 0.000006, 0.000017, 0.000054, 0.000028 
 5.050000, 0.000004, 0.000005, 0.000006, 0.000020, 0.000050, 0.000029 
 5.100000, 0.000003, 0.000005, 0.000005, 0.000015, 0.000046, 0.000033 
 5.150000, 0.000003, 0.000005, 0.000005, 0.000016, 0.000045, 0.000037 
 5.200000, 0.000003, 0.000004, 0.000006, 0.000020, 0.000045, 0.000038 
 5.250000, 0.000003, 0.000005, 0.000005, 0.000018, 0.000053, 0.000031 
 5.300000, 0.000006, 0.000005, 0.000005, 0.000019, 0.000053, 0.000031 
 5.350000, 0.000006, 0.000005, 0.000005, 0.000022, 0.000058, 0.000025 
 5.400000, 0.000006, 0.000005, 0.000005, 0.000022, 0.000054, 0.000025 
 5.450000, 0.000007, 0.000004, 0.000006, 0.000215, 0.000060, 0.000055 
 5.500000, 0.000007, 0.000004, 0.000005, 0.000238, 0.000060, 0.000047 
 5.550000, 0.000033, 0.000440, 0.000005, 0.000244, 0.000114, 0.000140 
 5.600000, 0.000126, 0.002565, 0.000005, 0.000242, 0.000132, 0.000485 
 5.650000, 0.000328, 0.005086, 0.000005, 0.000248, 0.000187, 0.004650 
 5.700000, 0.000593, 0.005317, 0.000005, 0.000253, 0.000201, 0.004612 
 5.750000, 0.001097, 0.005215, 0.000005, 0.000422, 0.000308, 0.004946 
 5.800000, 0.002154, 0.005690, 0.000005, 0.000424, 0.000314, 0.007462 
 5.850000, 0.002216, 0.005484, 0.000006, 0.000746, 0.000314, 0.007691 
 5.900000, 0.002623, 0.005257, 0.000007, 0.000780, 0.000311, 0.011534 
 5.950000, 0.003666, 0.005087, 0.000011, 0.000774, 0.000393, 0.013075 
 6.000000, 0.003671, 0.004901, 0.000011, 0.000939, 0.000394, 0.016226 
 6.050000, 0.003665, 0.004871, 0.000012, 0.001125, 0.001508, 0.020596 
 6.100000, 0.004195, 0.005156, 0.000012, 0.001433, 0.001603, 0.024364 
 6.150000, 0.004209, 0.006160, 0.000011, 0.001496, 0.001609, 0.024974 
 6.200000, 0.004802, 0.005889, 0.000010, 0.001216, 0.001751, 0.025558 
 6.250000, 0.004813, 0.006460, 0.000011, 0.001483, 0.001749, 0.025391 
 6.300000, 0.004728, 0.006456, 0.000012, 0.001505, 0.002110, 0.029313 
 6.350000, 0.004741, 0.006103, 0.000012, 0.001554, 0.002094, 0.029376 
 6.400000, 0.004627, 0.004461, 0.000012, 0.001631, 0.002185, 0.028107 
 6.450000, 0.004388, 0.004575, 0.000011, 0.001662, 0.002182, 0.032620 
 6.500000, 0.003803, 0.004605, 0.000011, 0.001771, 0.002061, 0.031564 
 6.550000, 0.002912, 0.003763, 0.000012, 0.001771, 0.002656, 0.030211 
 6.600000, 0.003011, 0.005740, 0.000011, 0.001636, 0.002710, 0.037002 
 6.650000, 0.002492, 0.011085, 0.000010, 0.001623, 0.002696, 0.036455 
 6.700000, 0.001629, 0.011125, 0.000006, 0.001717, 0.002688, 0.043942 
 6.750000, 0.001626, 0.008902, 0.000007, 0.001720, 0.002689, 0.046068 
 6.800000, 0.001645, 0.009005, 0.000011, 0.001662, 0.002384, 0.042868 
 6.850000, 0.000858, 0.009174, 0.000011, 0.001156, 0.002277, 0.036561 
 6.900000, 0.000866, 0.009364, 0.000011, 0.001167, 0.002335, 0.033545 
 6.950000, 0.000479, 0.009003, 0.000012, 0.001156, 0.002174, 0.033657 
 7.000000, 0.000478, 0.009197, 0.000012, 0.001046, 0.002207, 0.032030 
 7.050000, 0.000480, 0.008165, 0.000011, 0.000898, 0.001670, 0.030877 
 7.100000, 0.000468, 0.008343, 0.000011, 0.000908, 0.001678, 0.029769 
 7.150000, 0.000420, 0.008515, 0.000012, 0.000919, 0.001451, 0.025096 
 7.200000, 0.000420, 0.008705, 0.000012, 0.000924, 0.001528, 0.014613 
 7.250000, 0.000369, 0.008779, 0.000011, 0.000709, 0.001598, 0.012139 
 7.300000, 0.000343, 0.008923, 0.000010, 0.000709, 0.001135, 0.012462 
 7.350000, 0.000139, 0.007897, 0.000011, 0.000533, 0.001062, 0.010389 
 7.400000, 0.000122, 0.002342, 0.000011, 0.000498, 0.001057, 0.008539 
 7.450000, 0.000073, 0.000161, 0.000011, 0.000422, 0.001065, 0.004660 
 7.500000, 0.000041, 0.000012, 0.000009, 0.000238, 0.001056, 0.001803 
 7.550000, 0.000010, 0.000005, 0.000006, 0.000019, 0.000166, 0.000030 
 7.600000, 0.000004, 0.000005, 0.000006, 0.000018, 0.000066, 0.000024 
 7.650000, 0.000003, 0.000005, 0.000006, 0.000018, 0.000077, 0.000021 
 7.700000, 0.000004, 0.000005, 0.000009, 0.000018, 0.000070, 0.000020 
 7.750000, 0.000004, 0.000005, 0.000012, 0.000021, 0.000070, 0.000020 
 7.800000, 0.000004, 0.000005, 0.000012, 0.000020, 0.000071, 0.000021 
 7.850000, 0.000005, 0.000004, 0.000012, 0.000019, 0.000056, 0.000021 
 7.900000, 0.000005, 0.000004, 0.000011, 0.000012, 0.000062, 0.000016 
 7.950000, 0.000004, 0.000004, 0.000011, 0.000014, 0.000061, 0.000015 
 8.000000, 0.000004, 0.000004, 0.000011, 0.000013, 0.000055, 0.000021 
 8.050000, 0.000004, 0.000004, 0.000011, 0.000012, 0.000047, 0.000019 
 8.100000, 0.000006, 0.000004, 0.000011, 0.000012, 0.000042, 0.000017 
 8.150001, 0.000005, 0.000004, 0.000012, 0.000012, 0.000037, 0.000014 
 8.200000, 0.000005, 0.000003, 0.000012, 0.000012, 0.000035, 0.000016 
 8.250000, 0.000005, 0.000002, 0.000013, 0.000012, 0.000032, 0.000019 
 8.300000, 0.000007, 0.000002, 0.000012, 0.000013, 0.000033, 0.000025 
 8.350000, 0.000007, 0.000002, 0.000013, 0.000012, 0.000029, 0.000027 
 8.400001, 0.000007, 0.000002, 0.000013, 0.000012, 0.000024, 0.000027 
 8.450000, 0.000007, 0.000003, 0.000011, 0.000010, 0.000023, 0.000029 
 8.500000, 0.000007, 0.000002, 0.000009, 0.000009, 0.000022, 0.000029 
 8.550000, 0.000006, 0.000003, 0.000009, 0.000009, 0.000021, 0.000029 
 8.600000, 0.000004, 0.000003, 0.000009, 0.000009, 0.000019, 0.000033 
 8.650001, 0.000005, 0.000002, 0.000010, 0.000008, 0.000016, 0.000035 
 8.700000, 0.000004, 0.000003, 0.000010, 0.000005, 0.000017, 0.000035 
 8.750000, 0.000004, 0.000003, 0.000010, 0.000013, 0.000027, 0.000026 
 8.800000, 0.000004, 0.000003, 0.000010, 0.000015, 0.000027, 0.000027 
 8.850000, 0.000004, 0.000003, 0.000010, 0.000019, 0.000032, 0.000027 
 8.900001, 0.000004, 0.000003, 0.000011, 0.000022, 0.000044, 0.000027 
 8.950000, 0.000004, 0.000003, 0.000011, 0.000021, 0.000049, 0.000026 
 9.000000, 0.000004, 0.000003, 0.000009, 0.000021, 0.000047, 0.000022 
 9.050000, 0.000003, 0.000003, 0.000009, 0.000021, 0.000045, 0.000022 
 9.100000, 0.000003, 0.000003, 0.000008, 0.000023, 0.000052, 0.000019 
 9.150001, 0.000004, 0.000003, 0.000008, 0.000025, 0.000050, 0.000022 
 9.200000, 0.000004, 0.000003, 0.000008, 0.000025, 0.000051, 0.000021 
 9.250000, 0.000004, 0.000003, 0.000007, 0.000024, 0.000051, 0.000021 
 9.300000, 0.000004, 0.000003, 0.000007, 0.000024, 0.000055, 0.000021 
 9.350000, 0.000004, 0.000003, 0.000006, 0.000025, 0.000058, 0.000015 
 9.400001, 0.000004, 0.000003, 0.000005, 0.000028, 0.000059, 0.000018 
 9.450000, 0.000004, 0.000003, 0.000005, 0.000028, 0.000058, 0.000018 
 9.500000, 0.000004, 0.000003, 0.000006, 0.000018, 0.000047, 0.000020 
 9.550000, 0.000004, 0.000002, 0.000007, 0.000018, 0.000053, 0.000020 
 9.600000, 0.000004, 0.000002, 0.000007, 0.000014, 0.000050, 0.000022 
 9.650001, 0.000003, 0.000002, 0.000007, 0.000012, 0.000042, 0.000022 
 9.700000, 0.000004, 0.000002, 0.000007, 0.000018, 0.000039, 0.000022 
 9.750000, 0.000004, 0.000007, 0.000008, 0.000034, 0.000041, 0.000022 
 9.800000, 0.000003, 0.000011, 0.000013, 0.000068, 0.000041, 0.000111 
 9.850000, 0.000006, 0.000012, 0.000015, 0.000066, 0.000040, 0.000112 
 9.900001, 0.000006, 0.000014, 0.000016, 0.000071, 0.000051, 0.000110 
 9.950000, 0.000007, 0.000014, 0.000019, 0.000072, 0.000049, 0.000111 
 10.000000, 0.000007, 0.000014, 0.000019, 0.000078, 0.000049, 0.000111 
 10.050000, 0.000008, 0.000015, 0.000019, 0.000078, 0.000046, 0.000111 
 10.100000, 0.000007, 0.000017, 0.000020, 0.000079, 0.000040, 0.000112 
 10.150000, 0.000007, 0.000016, 0.000021, 0.000076, 0.000043, 0.000105 
 10.200000, 0.000008, 0.000015, 0.000020, 0.000076, 0.000044, 0.000105 
 10.250000, 0.000006, 0.000016, 0.000019, 0.000077, 0.000055, 0.000100 
 10.300000, 0.000015, 0.000015, 0.000019, 0.000076, 0.000060, 0.000107 
 10.350000, 0.000288, 0.000035, 0.000018, 0.000132, 0.000067, 0.000255 
 10.400000, 0.000655, 0.000038, 0.000018, 0.000131, 0.000066, 0.000336 
 10.450000, 0.001487, 0.000053, 0.000018, 0.000126, 0.000062, 0.001746 
 10.500000, 0.001786, 0.000061, 0.000016, 0.000113, 0.000064, 0.001746 
 10.550000, 0.001904, 0.000088, 0.000052, 0.000173, 0.000075, 0.001912 
 10.600000, 0.002265, 0.000089, 0.000087, 0.000172, 0.000164, 0.002706 
 10.650000, 0.002152, 0.000106, 0.000221, 0.000207, 0.000218, 0.003796 
 10.700000, 0.002047, 0.000129, 0.000229, 0.000206, 0.000256, 0.004056 
 10.750000, 0.001932, 0.000128, 0.000227, 0.000382, 0.000938, 0.004228 
 10.800000, 0.001819, 0.000173, 0.000228, 0.000377, 0.001100, 0.004830 
